Date,Close/Last,Volume,Open,High,Low
5/8/2019,1917.77,4078568,1918.87,1935.37,1910.00
5/7/2019,1921.00,5902134,1939.99,1949.10,1903.38
5/6/2019,1950.55,5417841,1917.98,1959.00,1910.50
5/3/2019,1962.46,6381564,1949.00,1964.40,1936.00
5/2/2019,1900.82,3962915,1913.33,1921.55,1881.87
5/1/2019,1911.52,3116964,1933.09,1943.64,1910.55
4/30/2019,1926.52,3492929,1930.10,1935.71,1906.95
4/29/2019,1938.43,4000052,1949.00,1956.34,1934.09
4/26/2019,1950.63,8396605,1929.00,1951.00,1898.00
4/25/2019,1902.25,5625972,1917.00,1922.45,1900.31
4/24/2019,1901.75,3618382,1925.00,1929.69,1898.16
4/23/2019,1923.77,4632169,1891.20,1929.26,1889.58
4/22/2019,1887.31,3361162,1855.40,1888.42,1845.64
4/18/2019,1861.69,2745002,1868.79,1870.82,1859.48
4/17/2019,1864.82,2838130,1872.99,1876.47,1860.44
4/16/2019,1863.04,3036907,1851.35,1869.77,1848.00
4/15/2019,1844.87,3710653,1842.00,1846.85,1818.90
4/12/2019,1843.06,3090899,1848.40,1851.50,1841.30
4/11/2019,1844.07,2623197,1848.70,1849.95,1840.31
4/10/2019,1847.33,2951939,1841.00,1848.00,1828.81
4/9/2019,1835.84,3703283,1845.49,1853.09,1831.78
4/8/2019,1849.86,3745428,1833.23,1850.20,1825.11
4/5/2019,1837.28,3628458,1829.00,1838.58,1825.19
4/4/2019,1818.86,3614013,1820.65,1828.75,1804.20
4/3/2019,1820.70,3923043,1826.72,1830.00,1809.62
4/2/2019,1813.98,3435556,1811.02,1820.00,1805.12
4/1/2019,1814.19,4173480,1800.11,1815.67,1798.73
3/29/2019,1780.75,3316831,1786.58,1792.86,1776.63
3/28/2019,1773.42,3030860,1770.00,1777.93,1753.47
3/27/2019,1765.70,4316646,1784.13,1787.50,1745.68
3/26/2019,1783.76,4848654,1793.00,1805.77,1773.36
3/25/2019,1774.26,5098182,1757.79,1782.68,1747.50
3/22/2019,1764.77,6347858,1810.17,1818.98,1763.11
3/21/2019,1819.26,5740075,1796.26,1823.75,1787.28
3/20/2019,1797.27,6153806,1769.94,1799.50,1767.03
3/19/2019,1761.85,6339232,1753.51,1784.16,1753.51
3/18/2019,1742.15,5403392,1712.70,1750.00,1712.63
3/15/2019,1712.36,7538300,1703.00,1718.80,1693.13
3/14/2019,1686.22,2937759,1691.20,1702.00,1684.34
3/13/2019,1690.81,3540837,1683.00,1700.00,1679.35
3/12/2019,1673.10,3562993,1669.00,1684.27,1660.98
3/11/2019,1670.62,3797298,1626.12,1672.29,1626.01
3/8/2019,1620.80,4659945,1604.01,1622.72,1586.57
3/7/2019,1625.95,4945564,1667.37,1669.75,1620.51
3/6/2019,1668.95,3984996,1695.97,1697.75,1668.28
3/5/2019,1692.43,3667977,1702.95,1707.80,1689.01
3/4/2019,1696.17,6154237,1685.00,1709.43,1674.36
3/1/2019,1671.73,4661618,1655.13,1674.26,1651.00
2/28/2019,1639.83,3016008,1635.25,1651.77,1633.83
2/27/2019,1641.09,3141146,1628.18,1641.81,1615.10
2/26/2019,1636.40,2657019,1625.98,1639.99,1616.13
2/25/2019,1633.00,3169190,1641.45,1654.60,1630.39
2/22/2019,1631.56,3090342,1623.50,1634.94,1621.17
2/21/2019,1619.44,3460682,1619.85,1623.56,1600.91
2/20/2019,1622.10,3314310,1630.00,1634.93,1610.12
2/19/2019,1627.58,3671821,1601.00,1634.00,1600.56
2/15/2019,1607.95,4333397,1627.86,1628.91,1604.50
2/14/2019,1622.65,4106555,1624.50,1637.90,1606.06
2/13/2019,1640.00,3545096,1647.00,1656.38,1637.11
2/12/2019,1638.01,4830487,1604.00,1639.40,1598.88
